"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","Selling Agent ID","LSC List Side","List Office Primary Board ID"
"1","G5052003","SLD","220 LEDBETTER AVE","GROVELAND","34736","GROVELAND EDGE RESUB BLK C","1,199","$215,000","3","2","0","1930","None","Single Family Residence","$1,077.00","5","5","5","Cash","03/11/2022","$187.66","$179.32","0.96","WHEATLEY REALTY GROUP","Katelyn Raber","260505153","260503101","260502501","Lake and Sumter","Lake and Sumter"
"1","G5053077","SLD","126 E BEACH ST","GROVELAND","34736","GROVELAND","2,353","$217,000","4","2","1","1930","None","Single Family Residence","$1,387.36","6","6","19","Cash","04/07/2022","$106.20","$92.22","0.87","MICKI BLACKBURN REALTY","Kerri Leininger","260504310","20515","260504310","Lake and Sumter","Lake and Sumter"
"1","G5055027","SLD","8018 GROVEMONT ESTATES RD","GROVELAND","34736","GROVELAND FARMS 21-22-25","1,200","$220,000","3","2","0","1985","None","Single Family Residence","$1,320.00","5","5","5","Cash","05/26/2022","$191.58","$183.33","0.96","CENTURY 21 ALTON CLARK","Regina Rodriguez","260502116","50344","260561370","Lake and Sumter","Lake and Sumter"
"1","G5053873","SLD","1052 PARK CENTRAL CIR","GROVELAND","34736","PARK CENTRAL","1,025","$236,000","3","2","0","2006","None","Single Family Residence","$2,007.00","2","2","2","FHA","05/02/2022","$224.39","$230.24","1.03","FLORIDA REAL ESTATE CENTER LLC","DJ Wilson, Jr.","260503992","261016329","261210528","Lake and Sumter","Orlando Regional"
"1","G5049206","SLD","1211 OSPREY NEST CIR","GROVELAND","34736","GROVELAND OSPREY COVE PH 02","1,511","$260,000","3","2","0","2014","None","Single Family Residence","$1,543.12","3","3","3","Conventional","01/04/2022","$178.69","$172.07","0.96","KELLER WILLIAMS ELITE PARTNERS III REALTY","Regina Cruz","260503423","261010944","282013483","Lake and Sumter","Lake and Sumter"
"1","G5048527","SLD","8914 COURTYARD LN","GROVELAND","34736","COURTYARD VILLAS","1,146","$260,000","2","2","0","2003","Community","Single Family Residence","$837.56","2","2","2","Conventional","01/20/2022","$226.88","$226.88","1.00","WHEATLEY REALTY GROUP","David Wilson","260505692","260503461","260502504","Lake and Sumter","Lake and Sumter"
"1","G5050165","SLD","2083 NEWTOWN RD","GROVELAND","34736","GROVELAND LEXINGTON VILLAGE PH 03","1,638","$266,000","3","2","0","2006","None","Single Family Residence","$2,017.00","3","3","4","Cash","01/19/2022","$149.57","$162.39","1.09","1ST CLASS REAL ESTATE LEVEL UP","Jordan Demastus","260505781","260506050","260504722","Lake and Sumter","Tampa"
"1","S5063246","SLD","2719 COUNTY ROAD 48","GROVELAND","34736","ACREAGE & UNREC","1,144","$272,000","3","2","0","2000","None","Single Family Residence","$864.00","3","3","55","FHA","06/27/2022","$236.01","$237.76","1.01","GLOBAL REAL ESTATE SERVICES IN","Amparo Carrillo","035840002","54950","035840002","Osceola","Orlando Regional"
"1","U8145862","SLD","111 CRESCENT MOON DR","GROVELAND","34736","CASCADES OF GROVELAND","1,301","$277,900","2","2","0","2006","None","Single Family Residence","$2,845.48","10","10","13","Cash","01/18/2022","$213.60","$213.6","1.00","ZILLOW HOMES INC.","Nuria Curtis","261219354","260503101","261214866","Pinellas Suncoast","Pinellas Suncoast"
"1","S5060934","SLD","145 LAKE CATHERINE CIR","GROVELAND","34736","LAKE CATHERINE SHORES","1,395","$280,000","3","2","0","2001","None","Single Family Residence","$842.00","7","7","7","Conventional","02/07/2022","$200.65","$200.72","1.00","AGENT TRUST REALTY CORPORATION","Paola Lopez","272563052","260503461","260504836","Osceola","Osceola"
